#id,DL_Component,link,comments
56541683,Parameters,https://stackoverflow.com/questions/56541683/output-of-a-cnn-doesnt-change-much-with-the-input,bad weight initialization
19328728,InputData,https://stackoverflow.com/questions/19328728/rescaling-input-features-for-neural-networks-regression,benefit of re-scaling features
59129802,Activation,https://stackoverflow.com/questions/59129802/loss-not-changeing-in-very-simple-keras-binary-classifier,softmax with single dim
38399609,Optimization,https://stackoverflow.com/questions/38399609/tensorflow-deep-neural-network-for-regression-always-predict-same-results-in-one,incorrect loss function
57200621,Activation,https://stackoverflow.com/questions/57200621/model-not-training-and-negative-loss-when-whitening-input-data,wrong output activation scale
58525908,InputData,https://stackoverflow.com/questions/58525908/how-to-train-features-in-different-scales-in-deep-learning-model,unscaled data
53848232,Optimization,https://stackoverflow.com/questions/53848232/tensorflow-exploding-gradient,exploding gradient
55718408,Optimization,https://stackoverflow.com/questions/55718408/neural-network-returning-the-same-output-despite-input-change,high learning rate
53640858,InputData,https://stackoverflow.com/questions/53640858/loss-nan-in-keras-while-performing-regression,NaN values in data
63003693,InputData,https://stackoverflow.com/questions/63003693/underfitting-because-of-image-augmentation-or-noise,augmented noise is heavy
41174546,InputData,https://stackoverflow.com/questions/41174546/keras-data-augmentation-parameters,overwhelming data with augmentation
55786384,InputData,https://stackoverflow.com/questions/55786384/tensorflow-2-0-cnn-training-image-augmentation-function-shifts-pixel-values-out,augmented data are out of distribution (unmatched scaling)
48845354,InputData,https://stackoverflow.com/questions/48845354/why-is-validation-accuracy-higher-than-training-accuracy-when-applying-data-augm,issue with data augmentation
49070464,InputData,https://stackoverflow.com/questions/49070464/convolutional-neural-networks-reasons-for-changing-image-data-range,necessity of normalization
4674623,InputData,https://stackoverflow.com/questions/4674623/why-do-we-have-to-normalize-the-input-for-an-artificial-neural-network,benefits of scaling
59007484,InputData,https://stackoverflow.com/questions/59007484/is-this-a-case-of-overfitting-cnn-image-classifier,Augmenting the validation too
57275278,InputData,https://stackoverflow.com/questions/57275278/extreme-overfitting-cnn-for-mnist,90 degrees are too much for rotation augm
46239839,InputData,https://stackoverflow.com/questions/46239839/randomly-augmenting-images-using-keras,Augmenting the validation too
60360057,InputData,https://stackoverflow.com/questions/60360057/keras-should-i-normalize-my-inputs-even-if-im-using-imagegenerator,risk of unscaling data augmentation
53654594,InputData,https://stackoverflow.com/questions/53654594/fit-generator-trains-with-0-accuracy,forget to scale the augmented data
44832497,Regularization,https://stackoverflow.com/questions/44832497/after-adding-dropout-my-neural-network-is-overfitting-even-more-than-before-wh,redundant dropout
62354952,Connectivity&Custom Operation,https://stackoverflow.com/questions/62354952/why-does-my-neural-network-make-such-inaccurate-predictions-after-training,wrong accuracy (argmax for binary classification)
61498304,Parameters,https://stackoverflow.com/questions/61498304/model-accuracy-and-loss-not-improving-in-cnn,inappropriate initialization
52575271,Activation,https://stackoverflow.com/questions/52575271/keras-vgg16-same-model-different-approach-gave-different-result,softmax as intermediary activation
63497958,Optimization,https://stackoverflow.com/questions/63497958/extremely-high-loss-with-consistent-validation-accuracy,learning rate and optimizer issue
49931055,Activation,https://stackoverflow.com/questions/49931055/tensorflow-model-gets-zero-loss,softmax loss with 1-dim output
63372983,Optimization,https://stackoverflow.com/questions/63372983/validation-accuracy-stuck-accuracy-low,inadequate optimizer
50485506,InputData/Activation,https://stackoverflow.com/questions/50485506/basic-tensorflow-classification-example,unnormalized data;redundant softmax
46202839,Connectivity&Custom Operation,https://stackoverflow.com/questions/46202839/weight-different-misclassifications-differently-keras,wrong weighted loss impl
44454158,Connectivity&Custom Operation,https://stackoverflow.com/questions/44454158/tensorflow-implementing-a-class-wise-weighted-cross-entropy-loss,new weighted loss impl
48027263,Parameters,https://stackoverflow.com/questions/48027263/why-does-this-neural-network-learn-nothing,unbreaking symmetry
40467990,InputData,https://stackoverflow.com/questions/40467990/tensorflow-synchronize-readings-from-tfrecord,unaligned labels and features
47866803,InputData,https://stackoverflow.com/questions/47866803/the-order-of-labels-are-wrong-after-batching-when-importing-data-from-tfrecords,unaligned labels and features
46136553,InputData,https://stackoverflow.com/questions/46136553/why-are-my-examples-and-labels-in-the-wrong-order,unaligned labels and features
41864333,InputData,https://stackoverflow.com/questions/41864333/tensorflow-mixes-up-images-and-labels-when-making-batch,unaligned labels and features
47034888,Optimization,https://stackoverflow.com/questions/47034888/how-to-choose-cross-entropy-loss-in-tensorflow,potential bad loss
46181692,Activation,https://stackoverflow.com/questions/46181692/why-arent-my-weights-being-updated,no activation; low width size
38321024,Parameters,https://stackoverflow.com/questions/38321024/why-this-simple-tensorflow-code-is-not-successful-convnetjs-using-tensorflow,inadequate initialization
53138899,Parameters/Activation,https://stackoverflow.com/questions/53138899/tensorflow-returns-same-weights-in-hidden-layer,bad initialization; no activation
51993989,Activation,https://stackoverflow.com/questions/51993989/trouble-training-a-tensorflow-mlp-to-classify-inputs-1-0-or-1,softmax is not adequate
43611745,Optimization,https://stackoverflow.com/questions/43611745/poor-accuracy-at-mnist-csv-data-in-tensorflow,sum reduction loss
62566558,Optimization,https://stackoverflow.com/questions/62566558/validation-accuracy-stuck-at-5073,accuracy is not aligned with regression problem
57326611,Activation,https://stackoverflow.com/questions/57326611/tensorflow-accuracy-is-0-5,softmax and binary CE are not aligned
55533413,Optimization/Regularization,https://stackoverflow.com/questions/55533413/how-to-select-strategy-to-reduce-overfitting,mix of issues (among them: inappropriate learning rate and dropout rate)
